,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI0589_SECTORNone,0.19992654632133,5.001837016644901,7.649504645548768e-05,0.0618191075436748,2228.741682011429,0.999996509147417,2.797330003464806e-06,0.0058201010149037,0.029111196696958,1.978011014666553e-06,0.0011955384568671,0.0299104276966277,0.0432885091917917
TOI0389_SECTORNone,0.6164988225524749,1.6220631141836162,0.0001400657912377,-0.1541682299486041,1325.5463422405653,1.0000033088944351,4.8826793056037884e-06,0.0055481252071046,0.0089994092513167,3.452575647351661e-06,0.0009947212036819,0.0026171997648082,0.0432026059320867
TOI3678_SECTORNone,0.4103532455636421,2.436924797868837,0.0004479674012591,0.3687333803187039,2446.7932797182766,1.0000686427065586,1.753241330521124e-05,0.0062289582545766,0.0151795028354675,1.239728833868012e-05,0.0011098753408065,0.0065911084408251,0.0430586451497349
TOI0508_SECTORNone,0.2238406394306249,4.467464007177886,0.000260475294617,0.3304682092632632,1490.3901040068051,1.00003452622058,9.94831327100982e-06,0.006078592731168,0.0271558942407865,7.034519775299167e-06,0.0011991322813065,0.0239325634532174,0.0426546182075109
TOI2001_SECTORNone,0.3593750078835486,2.782608634610559,0.000308876780082,0.233608950908535,2255.0413046482904,0.9999781234955047,1.2754035130655257e-05,0.0065717718724987,0.0182866691571057,9.018464728377784e-06,0.0011895762348344,0.0092107826920746,0.0424642442002271
TOI0370_SECTORNone,0.4402963039915265,2.271197806873357,0.0027100365414548,-0.1804878757663826,2088.6543710512938,0.999691545501875,0.0001054113058199,0.0061905919430921,0.0140600588443987,7.453704915901076e-05,0.0011746464905219,0.0060592253646902,0.0421777933067145
TOI0457_SECTORNone,0.8476555416489407,1.1797244881508169,0.0038238630185684,-0.491916556246175,1411.486712948957,0.999848251572228,0.0001531298077666,0.0063734934338461,0.0075189662789767,0.0001082791254735,0.0011303654876763,0.0015731860182006,0.0417503090893546
TOI2437_SECTORNone,0.2140439602798023,4.671937478136646,0.0005997584333888,-0.0823918346444472,2144.9051383808246,0.999939764400986,2.2639169078901763e-05,0.0060076448546817,0.0280673411519223,1.6008309976120245e-05,0.0015343055063439,0.0334892859795226,0.0417441245243581
TOI2500_SECTORNone,0.6766531887554253,1.4778619485105946,0.0009616652992802,0.3702284397384451,2201.1911309785564,0.9999611255962894,3.508064165463542e-05,0.0058058219739752,0.0085802033751647,2.480575960236797e-05,0.0010516188843093,0.0022968155020662,0.041694819126526
TOI1712_SECTORNone,0.5590743334494106,1.78867091577991,0.0002999677759672,-0.0353451397931396,2580.43274149223,1.0000026868905685,1.1224109912593065e-05,0.0059552149181217,0.0106519197212629,7.936644231977703e-06,0.0009835821424066,0.0031468172766019,0.0416159084178409
